family,scientificName,eventDate,year,month,day,startDayOfYear,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,reproductiveCondition,decimalLatitude,decimalLongitude,minimumElevationInMeters
Polygonaceae,Oxyria digyna,7/26/2001,2001,7,26,207,East facing alpine scree slopes with Geum and Engelmann spruce krummholz.,,,,,,flowering and fruiting,40.6191,-105.9058,3354
Polygonaceae,Oxyria digyna,7/30/2001,2001,7,30,211,Lake shore with Betula and south east facing alpine talus slopes above lake with Geum.,,,,,,flowering and fruiting,40.5466,-105.6595,3476
Polygonaceae,Oxyria digyna,8/1/2001,2001,8,1,213,Flat alpine fellfields and granite boulder piles with Dryas octopetala.,,,,,,flowering and fruiting,40.6188,-105.6676,3415
Polygonaceae,Oxyria digyna,8/3/2001,2001,8,3,215,Subalpine creek crossing with Sibbaldia and Salix and subalpine meadow.,,,,,,flowering and fruiting,40.5939,-105.7232,3232
Polygonaceae,Oxyria digyna,8/5/2001,2001,8,5,217,East facing alpine slopes and ridges with Geum and some granite overhangs.,,,,,,flowering and fruiting,40.5972,-105.9277,3598
Polygonaceae,Oxyria digyna,8/5/2001,2001,8,5,217,East facing alpine slopes and ridges with Geum and granite boulder piles.,,,,,,flowering and fruiting,40.6046,-105.9247,3780
Polygonaceae,Oxyria digyna,8/9/2001,2001,8,9,221,North facing alpine slopes with scree.,,,,,,flowering and fruiting,40.52,-105.8453,3323
Polygonaceae,Oxyria digyna,8/22/2001,2001,8,22,234,"Rocky alpine talus slopes with schist and gneiss, and Engelmann spruce krummholz.",,,,,,flowering and fruiting,40.5589,-105.6271,3354
Polygonaceae,Oxyria digyna,7/5/2000,2000,7,5,187,Alpine fell field with small turfy areas.,,,,,,flowering and fruiting,40.5465,-105.9039,3354
Polygonaceae,Oxyria digyna,7/19/2000,2000,7,19,201,Alpine slopes and ridges of volcanic mountain.,,,,,,flowering and fruiting,40.3582,-105.9608,3415
Polygonaceae,Oxyria digyna,7/19/2000,2000,7,19,201,Alpine ridge.,,,,,,flowering and fruiting,40.3727,-105.9608,3476
Polygonaceae,Oxyria digyna,7/21/2000,2000,7,21,203,Rocky slope to summit of peak.,,,,,,flowering and fruiting,40.6044,-105.9229,3872
Polygonaceae,Oxyria digyna,7/23/2000,2000,7,23,205,Spruce-fir forest and rocky slopes.,,,,,,flowering,40.7947,-107.3845,3293
Polygonaceae,Oxyria digyna,7/30/2000,2000,7,30,212,Rocky south exposure and ridge.,,,,,,flowering and fruiting,40.3251,-106.1282,3232
Polygonaceae,Oxyria digyna,7/30/2000,2000,7,30,212,Rocky north exposure.,,,,,,flowering and fruiting,40.3251,-106.1282,3598
Polygonaceae,Oxyria digyna,7/31/2000,2000,7,31,213,Lake shore and slopes.,,,,,,flowering and fruiting,40.4741,-105.9039,3251
Polygonaceae,Oxyria digyna,8/8/2000,2000,8,8,221,Rocky slopes.,,,,,,flowering and fruiting,40.561,-105.9229,3354
Polygonaceae,Oxyria digyna,8/8/2000,2000,8,8,221,Alpine rocky slope.,,,,,,fruiting,40.5755,-105.9229,3506
Polygonaceae,Oxyria digyna,8/15/2000,2000,8,15,228,Rocky near-alpine summit and wet areas around melting snowbank.,,,,,,fruiting,40.9228,-106.6884,3293
Polygonaceae,Oxyria digyna,7/10/2001,2001,7,10,191,Alpine.,,,,,,fruiting,40.402472,-105.916444,3476
Polygonaceae,Oxyria digyna,6/30/2001,2001,6,30,181,"Dry, alpine, scree slopes with Geum and Erigeron.",,,,,,flowering,40.5538,-105.9094,3354
Polygonaceae,Oxyria digyna,7/27/2001,2001,7,27,208,South facing alpine ridges and slopes around and above the lakes with Geum and Sibbaldia.,,,,,,flowering and fruiting,40.4768,-105.8796,3415
Polygonaceae,Oxyria digyna,8/14/2001,2001,8,14,226,"Steep, east facing alpine talus slopes of granite and krummholz.",,,,,,flowering and fruiting,40.4887,-105.8868,3506
Polygonaceae,Oxyria digyna,7/12/1984,1984,7,12,194,Common on moist sites on gentle N-facing slopes near ridgetop.,,,,,,flowering,38.6925,-106.47392,3752
Polygonaceae,Oxyria digyna,9/13/1922,1922,9,13,256,"On steep east-facing slope in rocky loam soil with Aletes, Cinquefoil and Sedges.",,,,,,flowering,37.43876,-108.07632,3963
Polygonaceae,Oxyria digyna,1920-07-00,1920,7,0,,"In dry, gravel soil of grassland.",,,,,,flowering,38.91093,-106.36572,3965
Polygonaceae,Oxyria digyna,8/20/1985,1985,8,20,232,Common in moist granitic gravelly soil in tundra of steep N-facing slope.,,,,,,flowering,37.28864,-106.57092,4002
Polygonaceae,Oxyria digyna,8/15/1998,1998,8,15,227,"Steep, gravelly slope of alpine peak, N-facing crevice of rock. Circumboreal distribution. Growing with Ligularia taraxacoides, Eriogonum sp., Oligosporus groenlandica, Ipomopsis globularis, and Tonestus pygmaeus.",,,,,,flowering,39.10551,-106.17829,3693
Polygonaceae,Oxyria digyna,8/15/1986,1986,8,15,227,Moist soil and crevices in rocks.,,,,,,flowering,40.3774,-105.6763,3537
Polygonaceae,Oxyria digyna,8/17/1978,1978,8,17,229,Grassy meadow and rocky flats.,,,,,,flowering,39.10502,-106.45533,4074
Polygonaceae,Oxyria digyna,7/11/1989,1989,7,11,192,Talus and boulder field; mostly acidic schist.,,,,,,flowering,38.80866,-106.42253,3894
Polygonaceae,Oxyria digyna,7/15/1998,1998,7,15,196,Mesic alpine meadows NE of lake with Acomastylis rossii and Deschampsia cespitosa.,,,,,,flowering,37.58854,-105.50724,3659
Polygonaceae,Oxyria digyna,7/12/1998,1998,7,12,193,Alpine.,,,,,,flowering and fruiting,38.0916,-105.6451,3659
Polygonaceae,Oxyria digyna,7/16/1998,1998,7,16,197,Picea engelmannii/Pinus aristata and alpine on south-facing slope.,,,,,,flowering and fruiting,38.4036,-106.241,3476
Polygonaceae,Oxyria digyna,7/31/1998,1998,7,31,212,Areas with Picea and alpine around lakes,,,,,,flowering and fruiting,38.3484,-105.87,3354
Polygonaceae,Oxyria digyna,8/7/1998,1998,8,7,219,Alpine.,,,,,,flowering and fruiting,37.9622,-105.5115,3354
Polygonaceae,Oxyria digyna,8/17/1998,1998,8,17,229,Alpine.,,,,,,flowering and fruiting,37.9767,-105.5481,3841
Polygonaceae,Oxyria digyna,8/14/1998,1998,8,14,226,Steep talus slopes with pockets of vegetation; plant species diversity very low.,,,,,,flowering and fruiting,37.3747,-104.9653,3354
Polygonaceae,Oxyria digyna,7/13/2010,2010,7,13,194,Upper subalpine-alpine rocky meadow.,,,,,,flowering,39.467,-105.9936,3366
Polygonaceae,Oxyria digyna,7/17/2010,2010,7,17,198,"Rocky alpine meadow, snowmelt basins and ponds.",,,,,,flowering and fruiting,39.0521,-106.7475,3591
Polygonaceae,Oxyria digyna,7/19/2010,2010,7,19,200,"Alpine meadows, barrens, and snowdrifts.",,,,,,flowering and fruiting,39.4932,-106.2533,3598
Polygonaceae,Oxyria digyna,7/21/2010,2010,7,21,202,Alpine meadows and fellfields.,,,,,,flowering and fruiting,39.5349,-105.8323,3598
Polygonaceae,Oxyria digyna,7/23/2010,2010,7,23,204,Alpine meadows and boulder fields.,,,,,,fruiting,39.6187,-106.1397,3659
Polygonaceae,Oxyria digyna,7/25/2010,2010,7,25,206,Riparian corridor and wet meadow terraces adjacent to waterfall.,,,,,,flowering,39.3855,-106.0966,3476
Polygonaceae,Oxyria digyna,7/26/2010,2010,7,26,207,Alpine meadow and talus slope.,,,,,,flowering and fruiting,39.4233,-106.1089,3683
Polygonaceae,Oxyria digyna,7/31/2010,2010,7,31,212,Alpine talus slopes and rocky meadows.,,,,,,fruiting,39.4627,-105.9364,3532
Polygonaceae,Oxyria digyna,8/5/2010,2010,8,5,217,Rocky alpine meadows and talus slopes.,,,,,,fruiting,39.4059,-105.9822,3515
Polygonaceae,Oxyria digyna,8/7/2010,2010,8,7,219,Alpine meadows and talus slopes.,,,,,,flowering and fruiting,39.5118,-106.1111,3457
Polygonaceae,Oxyria digyna,8/9/2010,2010,8,9,221,Upper subalpine and alpine meadow and talus slope.,,,,,,fruiting,39.4903,-106.4544,3415
Polygonaceae,Oxyria digyna,8/17/1999,1999,8,17,229,Alpine.,,,,,,flowering and fruiting,37.5944,-105.4625,3659
Polygonaceae,Oxyria digyna,8/11/2010,2010,8,11,223,"Alpine meadow, riparian, and talus.",,,,,,fruiting,39.6339,-105.8176,3683
Polygonaceae,Oxyria digyna,8/17/1999,1999,8,17,229,Alpine.,,,,,,flowering and fruiting,37.5833,-105.4667,3902
Polygonaceae,Oxyria digyna,7/16/1999,1999,7,16,197,Alpine.,,,,,,flowering,37.933,-105.5298,3835
Polygonaceae,Oxyria digyna,7/22/1999,1999,7,22,203,Alpine.,,,,,,flowering,38.0479,-105.6086,3659
Polygonaceae,Oxyria digyna,8/23/2011,2011,8,23,235,Boulder field.,,,,,,fruiting,39.8398,-106.4223,3341
Polygonaceae,Oxyria digyna,8/16/2011,2011,8,16,228,Rocky alpine ridge and slopes.,,,,,,fruiting,39.1047,-107.1125,3622
Polygonaceae,Oxyria digyna,8/18/2011,2011,8,18,230,Rock outcrop in alpine.,,,,,,fruiting,39.0387,-107.0086,3579
Polygonaceae,Oxyria digyna,8/19/2011,2011,8,19,231,Alpine meadow.,,,,,,fruiting,39.0483,-107.0372,3396
Polygonaceae,Oxyria digyna,7/25/1999,1999,7,25,206,Southwestern alpine slope.,,,,,,flowering,37.6093,-105.5131,3750
Polygonaceae,Oxyria digyna,7/25/1999,1999,7,25,206,Northwestern alpine slope.,,,,,,flowering and fruiting,37.6093,-105.5131,3902
Polygonaceae,Oxyria digyna,7/23/2011,2011,7,23,204,"Alpine talus slopes, clearings, and rock crevices in limestone and granite.",,,,,,flowering,39.5219,-106.6305,3659
Polygonaceae,Oxyria digyna,7/25/2011,2011,7,25,206,"Alpine meadows, rocky slopes, and talus fields.",,,,,,flowering and fruiting,39.543,-106.1892,3598
Polygonaceae,Oxyria digyna,7/26/1999,1999,7,26,207,Alpine,,,,,,flowering and fruiting,37.9861,-105.6467,3841
Polygonaceae,Oxyria digyna,8/1/2011,2011,8,1,213,"Alpine meadows, talus slopes, and rock crevices.",,,,,,flowering and fruiting,39.657,-105.8834,3655
Polygonaceae,Oxyria digyna,8/5/2011,2011,8,5,217,"Snowmelt basin with alpine meadows, talus slopes, and rock crevices.",,,,,,fruiting,39.0185,-106.8553,3720
Polygonaceae,Oxyria digyna,8/7/2011,2011,8,7,219,"Alpine talus slopes, meadows, and rock crevices.",,,,,,flowering and fruiting,39.0448,-106.5982,3780
Polygonaceae,Oxyria digyna,8/9/2011,2011,8,9,221,North-facing talus fields and upper subalpine meadows.,,,,,,flowering and fruiting,39.187,-107.0731,3415
Polygonaceae,Oxyria digyna,8/11/2011,2011,8,11,223,"Alpine talus slope, meadow, and rock crevices.",,,,,,fruiting,39.108,-107.0684,3415
Polygonaceae,Oxyria digyna,7/26/1999,1999,7,26,207,Alpine,,,,,,flowering and fruiting,37.988,-105.6444,4207
Polygonaceae,Oxyria digyna,8/12/2011,2011,8,12,224,"Alpine meadow, talus slope, and rock crevices.",,,,,,flowering and fruiting,39.1135,-107.1468,3659
Polygonaceae,Oxyria digyna,8/14/2011,2011,8,14,226,"Alpine meadows, rock crevices and talus slopes.",,,,,,flowering and fruiting,39.2427,-106.4974,3634
Polygonaceae,Oxyria digyna,8/17/2011,2011,8,17,229,Rocky slopes on either side of roadbed and old railroad grade.,,,,,,flowering and fruiting,39.2645,-106.5144,3430
Polygonaceae,Oxyria digyna,8/16/2011,2011,8,16,228,Rocky alpine ridge and slopes.,,,,,,fruiting,39.1047,-107.1125,3622
Polygonaceae,Oxyria digyna,7/28/1990,1990,7,28,209,Rocky basalt lake basin.,,,,,,,39.9206,-107.174,3415
Polygonaceae,Oxyria digyna,8/8/2001,2001,8,8,220,Rolling tundra with tree islands of Picea with many ponds. Rocky slopes.,,,,,,,37.24611,-106.65083,3509
Polygonaceae,Oxyria digyna,8/9/2002,2002,8,9,221,"alpine tundra, limestone slope.",,,,,,,38.768611,-106.3975,3660
Polygonaceae,Oxyria digyna,7/31/2014,2014,7,31,212,"Wet ledges and seeps at base of cliff band. Growing from rocks, cracks and ledges.",,"Common, in bloom.",,,,Flowers,39.02108,-107.08633,3540
Polygonaceae,Oxyria digyna,9/3/2014,2014,9,3,246,Much loose scree. Some willow stands lower on slope. At base of large boulders and ledges.,,Common. In fruit.,,,,Fruits,39.004181,-106.974836,3719
Polygonaceae,Oxyria digyna,8/7/2010,2010,8,7,219,NNW facing slopes of high alpine basin. Very moist with several ephemeral streambeds. Along streams.,,Fruits with 2 valves (Rumex have 3). Leaves Kidney-shaped.  Full bloom.  Very common.,,,,,38.96634,-106.93224,3662
Polygonaceae,Oxyria digyna,7/31/2011,2011,7,31,212,"Thin, red clay soils; often among rocks along narrow ridgeline. Growing in sheltered sites under rock ledges. Overall fairly dry sites.",,Full bloom. Uncommon.,,,,Full bloom.,39.04459,-106.99821,4033
Polygonaceae,Oxyria digyna,8/7/2011,2011,8,7,219,"Very rocky, with few spots with very shallow soil. Most plant growing from cracks in rock. Growing from cracks and beneath overhangs all along rocky crest of ridge.",,Full bloom. Farily common,,,,Full bloom.,38.980196,-106.92646,4127
Polygonaceae,Oxyria digyna,6/29/2012,2012,6,29,181,"Near bottom of S facing almost barren talus slope on S side of lake above outlet in fine soil and gravel cemented by lichens and mosses; only close associates include Lidia obtusiloba, Draba crassifolia, Primula parryi, Carex perglobosa, Acomastylis rossii, Festuca sp.; rooted under N side of large boulder; locally common.",,,,,,,39.596,-105.64119,3920
Polygonaceae,Oxyria digyna,8/5/2014,2014,8,5,217,Growing in talus above upper subalpine meadow bounded by spruce forest.,,,,,,Fruit,38.18387,-107.42326,3370
Polygonaceae,Oxyria digyna,8/6/2014,2014,8,6,218,Alpine talus field in W-facing cirque below Baldy Cinco mountain. Immediately above willow thicket.,,Locally uncommon.,,,,Flower and fruit,37.94451,-107.12588,3644
POLYGONACEAE,Oxyria digyna,7/26/1970,1970,7,26,207,,,,,,,,39.596731,-105.640845,3658
POLYGONACEAE,Oxyria digyna,8/22/1973,1973,8,22,234,In sand among rocks on E facing slope,,,,,,,39.649682,-105.777122,3871
POLYGONACEAE,Oxyria digyna,8/9/1980,1980,8,9,222,In rocks on talus slide just below tree line.,,,,,,,40.058503,-105.580604,3231
POLYGONACEAE,Oxyria digyna,8/26/1961,1961,8,26,238,,,,,,,,39.586631,-105.642359,4267
POLYGONACEAE,Oxyria digyna,7/19/1931,1931,7,19,200,Among rocks,,,,,,,38.838555,-105.043186,3810
POLYGONACEAE,Oxyria digyna,7/16/1947,1947,7,16,197,,,,,,,,39.36035,-106.060988,3292
POLYGONACEAE,Oxyria digyna,7/5/1948,1948,7,5,187,,,,,,,,38.998471,-106.940469,3780
POLYGONACEAE,Oxyria digyna,8/5/1961,1961,8,5,217,"Above timberline; in moist soil, well under the overhang of a large boulder.",,Perianth red-green.,,,,,39.636196,-105.596938,3658
POLYGONACEAE,Oxyria digyna,7/17/1999,1999,7,17,198,Side of the road in Alpine Tundra; infrequent.,,,,,,,39.62527,-105.78194,3993
POLYGONACEAE,Oxyria digyna,8/15/1989,1989,8,15,227,"E-facing, alpine talus slope",,Circumarboreal distribution.,,,,,39.122265,-106.191167,3688
POLYGONACEAE,Oxyria digyna,7/9/1998,1998,7,9,190,Alpine tundra to summit of mountain,,,,,,,38.933519,-106.711672,3536
POLYGONACEAE,Oxyria digyna,9/9/1995,1995,9,9,252,"rocky hillside, near stream;  below timberline; open area",,collection note - N39 40'   W105 45,,,,,39.598114,-106.01668,3444
POLYGONACEAE,Oxyria digyna,7/16/1984,1984,7,16,198,"under rock overhang; blockfield, south-facing slope",,,,,,,38.826426,-106.407376,3795
POLYGONACEAE,Oxyria digyna,7/21/1981,1981,7,21,202,wet meadow in lower part of basin,,,,,,,37.915968,-107.515688,3731
POLYGONACEAE,Oxyria digyna,8/1/1981,1981,8,1,213,Talus slpoe,,,,,,,37.974381,-107.762699,3536
POLYGONACEAE,Oxyria digyna,8/1/1981,1981,8,1,213,Talus slope,,,,,,,37.974381,-107.762699,3505
POLYGONACEAE,Oxyria digyna,7/7/1981,1981,7,7,188,rocky roadside,,,,,,,39.021474,-107.085109,3627
POLYGONACEAE,Oxyria digyna,7/21/1968,1968,7,21,203,NE-facing slope in the alpine-subalpine ecotone.  Study area included on alpine knob with exposed boulders; gentle to moderate slope leading down to Sneffels Creek; mid-slope; steep rocky exposed.,,,,,,,37.987639,-107.784702,3731
POLYGONACEAE,Oxyria digyna,7/21/1968,1968,7,21,203,NE-facing slop in the alpine-subalpine ecotone.  Study area included on alpine knob with exposed boulders; gentle to moderate slopes leading down to Sneffels Creek; around rocks adjacent to creek.,,,,,,,37.987639,-107.784702,3731
POLYGONACEAE,Oxyria digyna,6/21/2006,2006,6,21,172,Alpine tundra among cliffs and talus. Hard Rock.,,,,,,,38.304536,-105.86661,3658
POLYGONACEAE,Oxyria digyna,7/8/2007,2007,7,8,189,"Steep, unstable talus just below summit",,,,,,,37.78662,-107.524328,3962
POLYGONACEAE,Oxyria digyna,8/17/2009,2009,8,17,229,"Above timberline in rock crevices of moist drainage; associates include Mertensia ciliata, Veronica nutans, Stellaria umbellata, Epilobium anagallidifolium, Packera dimorphophylla. Granitic substrate.",,Tepals pinkish; occasional.,,,,,38.816751,-105.031585,3621
POLYGONACEAE,Oxyria digyna,7/16/2009,2009,7,16,197,"Dense alpine turf community on boulder strewn slope; dominants include Carex rupestris ssp. drummondiana, Kobresia myosuroides, Acomastylis rossii ssp. turbinata; associates include Mertensia alpina, Dryas ocatapetala, Poa arctica, Carex chalciolepis, against overhanging boulder in deep shade. Granitic substrate.",,"Flowers tiny, pinkish; rare locally.",,,,,38.827078,-105.027764,3804
Pyrolaceae,Moneses uniflora,7/26/2003,2003,7,26,207,,,,,,,,37.71602,-107.56307,3292
Pyrolaceae,Moneses uniflora,1896-07-07,1896,7,7,189,swamp,,,,,,,40.5797,-105.5974,3276
Pyrolaceae,Moneses uniflora,1892-08-01,1892,8,1,214,,,,,,,,40.5777,-105.5974,3352
Pyrolaceae,Moneses uniflora,8/6/1945,1945,8,6,218,shade,,,,,,,37.1844,-106.5833,3352
Pyrolaceae,Moneses uniflora,8/19/1986,1986,8,19,231,shade of NE exposure,,,,,,,37.127,-106.4751,3500
Pyrolaceae,Moneses uniflora,8/19/1974,1974,8,19,231,,,,,,,,39.9064,-105.8787,3297
Pyrolaceae,Moneses uniflora,8/14/1944,1944,8,14,227,moist loam soil,,,,,,,38.2232,-106.2781,3505
Pyrolaceae,Moneses uniflora,9/3/1985,1985,9,3,246,"dense shade, duff",,,,,,,37.5691,-106.7937,3341
Pyrolaceae,Moneses uniflora,8/3/1984,1984,8,3,216,loam of gentle NNW exposure,,,,,,,37.5691,-106.5775,3438
Pyrolaceae,Moneses uniflora,8/19/1971,1971,8,19,231,silt loam of W exposure,,,,,,,38.3281,-106.1981,3535
Pyrolaceae,Moneses uniflora,8/11/1942,1942,8,11,223,sandy N slope,,,,,,,38.1403,-105.703,3505
Pyrolaceae,Moneses uniflora,7/27/1972,1972,7,27,209,sandy-rocky soil,,,,,,,39.4694,-105.932,3200
Pyrolaceae,Moneses uniflora,8/10/1998,1998,8,10,222,Subalpine logged area.,,,,,,,37.2881,-106.7457,3353
Pyrolaceae,Moneses uniflora,7/29/2004,2004,7,29,211,,,,,,,,37.533235,-107.596498,3505
Pyrolaceae,Moneses uniflora,8/7/2010,2010,8,7,219,"Steep NW facing slopes through Engelmann Spruce-Subalpine Fir forest.  In shady, mossy seeps in spruce duff.",,"A single large, white flower per stalk, from a basal rosette of obovate leaves.  Full bloom.  Very Common.",,,,,38.97435,-106.94868,3261
PYROLACEAE,Moneses uniflora,8/11/1995,1995,8,11,223,"Lower Mississipian & Ordvician calcareous rocks including limestone, sandstone & dolomite. In duff of Picea engelmannii forest; scattered locally.",,"Flowers nodding, white",,,,,39.012041,-106.111134,3353
Ranunculaceae,Aquilegia caerulea,7/20/2010,2010,7,20,201,"Lake side, Englemann spruce forest",,,,,,,37.885667,-107.844833,3430
Ranunculaceae,Aquilegia coerulea var. coerulea,7/2/1959,1959,7,2,183,boulders,,,,,,,40.1514,-105.5309,3352
Ranunculaceae,Aquilegia coerulea var. coerulea,1892-07-16,1892,7,16,198,,,,,,,,39.6876,-105.797,3596
Ranunculaceae,Aquilegia coerulea var. coerulea,7/20/1985,1985,7,20,201,"moist soil, W expos",,,,,,,37.2658,-106.6509,3413
Ranunculaceae,Aquilegia coerulea var. coerulea,8/2/1945,1945,8,2,214,,,,,,,,37.3162,-106.5837,3505
Ranunculaceae,Aquilegia coerulea var. coerulea,7/11/1971,1971,7,11,192,"steep fellfield, rocky shallow peat soil",,,,,,,40.073,-105.5953,3901
Ranunculaceae,Aquilegia coerulea var. coerulea,7/4/1961,1961,7,4,185,rocky hillside,,,,,,,38.6859,-106.43829,3352
Ranunculaceae,Aquilegia coerulea var. coerulea,7/19/1981,1981,7,19,200,moist meadow,,,,,,,38.0638,-107.4511,3517
Ranunculaceae,Aquilegia coerulea var. coerulea,1896-07-08,1896,7,8,190,,,,,,,,40.5803,-105.5803,3276
Ranunculaceae,Aquilegia coerulea var. coerulea,1896-07-06,1896,7,6,188,,,,,,,,40.5797,-105.5974,3276
Ranunculaceae,Aquilegia coerulea var. coerulea,1986-07-00,1986,7,0,,,,,,,,,39.0203,-106.7556,3850
Ranunculaceae,Aquilegia coerulea var. coerulea,7/1/1984,1984,7,1,183,"silty loam of gentle N expos, meadow",,,,,,,37.5103,-106.448,3547
Ranunculaceae,Aquilegia coerulea var. coerulea,7/14/1971,1971,7,14,195,"rocky silty soil, S expos",,,,,,,38.351,-106.2697,3566
Ranunculaceae,Aquilegia coerulea var. coerulea,8/17/1979,1979,8,17,229,"sandy clay soil, salus slopes",,,,,,,37.82672,-107.79469,3780
Ranunculaceae,Aquilegia coerulea var. coerulea,8/1/1972,1972,8,1,214,"sandy-gravelly soil, NE expos",,,,,,,39.4116,-105.9876,3657
Ranunculaceae,Aquilegia coerulea var. coerulea,7/18/1972,1972,7,18,200,sandy S expos,,,,,,,39.3827,-106.0987,3474
Ranunculaceae,Aquilegia coerulea var. coerulea,7/13/1994,1994,7,13,194,W-facing slope.  Subalpine riparian meadow.,,,,,,,37.7199,-107.8989,3383
Ranunculaceae,Aquilegia coerulea var. coerulea,6/26/1994,1994,6,26,177,"Common, erect herb on rocky soil on an alpine ridge of moderate W slope.",,,,,,,40.3106,-106.2237,3300
Ranunculaceae,Aquilegia coerulea var. coerulea,7/26/1998,1998,7,26,207,Upper drainage in flats.  Alpine tundra.  Talus.,,,,,,,37.3878,-106.6819,3651
Ranunculaceae,Aquilegia coerulea var. coerulea,8/7/1995,1995,8,7,219,"Uncommon, erect herb on gravelly soil of steep E slope with alpine.",,,,,,,40.3251,-106.1301,3500
Ranunculaceae,Aquilegia coerulea var. coerulea,7/26/1995,1995,7,26,207,Roadside.  Rocky soils.,,,,,,,37.8061,-107.568,3292
Ranunculaceae,Aquilegia coerulea var. coerulea,8/15/1993,1993,8,15,227,"Rare, erect herb on gravelly soil in alpine tundra of moderate N slope.",,,,,,,40.3396,-106.1301,3444
Ranunculaceae,Aquilegia coerulea var. coerulea,7/6/2002,2002,7,6,187,Growing on rocky slope.,,,,,,,40.595278,-105.943056,3292
Ranunculaceae,Aquilegia coerulea var. coerulea,7/19/2003,2003,7,19,200,"Meadow, rocky soil.",,,,,,,39.8294,-105.6305,3292
Ranunculaceae,Aquilegia coerulea var. coerulea,7/15/1993,1993,7,15,196,"Uncommon, erect herb.",,,,,,,40.3396,-106.1301,3414
Ranunculaceae,Aquilegia coerulea,7/16/2004,2004,7,16,198,Alpine tundra.,,,,,,,40.47395,-105.90278,3481
Ranunculaceae,Aquilegia coerulea var. coerulea,7/24/2003,2003,7,24,205,Rocky granite western slope into wet meadow and lakeside.,,,,,,,40.0761,-105.6354,3328
Ranunculaceae,Aquilegia coerulea var. coerulea,7/8/2003,2003,7,8,189,Fellfield in meadow.,,,,,,flowering,37.5637,-106.5534,3390
Ranunculaceae,Aquilegia coerulea var. coerulea,7/13/2003,2003,7,13,194,Fellfields and turfy areas.,,,,,,flowering,37.6886,-107.1188,3585
Ranunculaceae,Aquilegia coerulea var. coerulea,7/26/2003,2003,7,26,207,Along creek in open meadow with scattered spruce and bristle cone pine.,,,,,,flowering and fruiting,37.7765,-106.6597,3293
Ranunculaceae,Aquilegia coerulea var. coerulea,7/28/2003,2003,7,28,209,Rocky outcrops in bristle cone and spruce forest.,,,,,,flowering and fruiting,37.4921,-106.671,3468
Ranunculaceae,Aquilegia coerulea var. coerulea,8/1/2003,2003,8,1,213,Rocky outcrops to alpine summit.,,,,,,flowering,37.7643,-107.5642,3622
Ranunculaceae,Aquilegia coerulea var. coerulea,7/5/2003,2003,7,5,186,Subalpine rocky outcrop.,,,,,,flowering,37.609683,-106.845133,3476
Ranunculaceae,Aquilegia coerulea var. coerulea,7/13/2003,2003,7,13,194,Seasonal drainage.,,,,,,flowering,37.7893,-106.7404,3216
Ranunculaceae,Aquilegia coerulea var. coerulea,7/13/2003,2003,7,13,194,Subalpine with rocky igneous outcrops.,,,,,,flowering,37.84,-106.689,3634
Ranunculaceae,Aquilegia coerulea var. coerulea,7/5/2004,2004,7,5,187,Subalpine south southwest-facing slope with some rocky outcrops.,,,,,,flowering,37.4602,-106.4146,3419
Ranunculaceae,Aquilegia coerulea var. coerulea,7/11/2004,2004,7,11,193,Rocky southwest-facing slope into subalpine.,,,,,,flowering,37.9013,-106.7846,3782
Ranunculaceae,Aquilegia coerulea var. coerulea,7/17/2004,2004,7,17,199,Alpine lake up a southwest-facing 35 deg slope.,,,,,,flowering,37.7114,-107.528,3701
Ranunculaceae,Aquilegia coerulea var. coerulea,7/25/2004,2004,7,25,207,Boulder field on north-facing slope.,,,,,,flowering and fruiting,37.6806,-106.911,3278
Ranunculaceae,Aquilegia coerulea var. coerulea,7/29/2004,2004,7,29,211,"Old clear cut spruce forest with scattered aspen, bristlecone and limber pine on north-facing slope.",,,,,,flowering,37.9961,-106.4701,3338
Ranunculaceae,Aquilegia coerulea var. coerulea,7/9/2004,2004,7,9,191,Rocky slopes.,,,,,,flowering,37.7311,-107.5086,3659
Ranunculaceae,Aquilegia coerulea var. coerulea,7/9/2004,2004,7,9,191,Rocky slopes.,,,,,,flowering,37.7311,-107.5086,3659
Ranunculaceae,Aquilegia coerulea var. coerulea,7/9/2003,2003,7,9,190,Subalpine and alpine steep slopes.,,,,,,flowering,40.3284,-106.1315,3561
Ranunculaceae,Aquilegia coerulea var. coerulea,7/16/2003,2003,7,16,197,Along trail and streams in alpine and subalpine.,,,,,,flowering,39.6474,-105.7992,3683
Ranunculaceae,Aquilegia coerulea var. coerulea,7/19/2003,2003,7,19,200,Along stream and wet meadows in subalpine.,,,,,,flowering,40.0186,-105.6936,3207
Ranunculaceae,Aquilegia coerulea var. coerulea,7/24/2003,2003,7,24,205,Rocky granite western slope into wet meadow and lakeside.,,,,,,flowering,40.0761,-105.6354,3329
Ranunculaceae,Aquilegia coerulea var. coerulea,8/2/2003,2003,8,2,214,"Wet subalpine, lakeside, and rocky coniferous slopes.",,,,,,flowering,39.6017,-105.7522,3476
Ranunculaceae,Aquilegia coerulea var. coerulea,8/5/2004,2004,8,5,218,Wet meadow adjacent to stream and spruce stands.,,,,,,flowering,39.675,-105.9072,3476
Ranunculaceae,Aquilegia coerulea var. coerulea,8/11/2004,2004,8,11,224,Alpine meadows and boulder fields; boulder fields.,,,,,,fruiting,40.1466,-105.7162,3415
