"Family.Name","scientificName"
"1467","Poaceae","Torreyochloa pallida var. pauciflora"
"1470","Liliaceae","Allium geyeri var. geyeri"
"1474","Asteraceae","Rydbergia grandiflora"
"1476","Saxifragaceae","Heuchera parvifolia"
"1481","Gentianaceae","Gentiana calycosa"
"1487","Cupressaceae","Juniperus communis"
"1490","Poaceae","Blepharoneuron tricholepis"
"1491","Scrophulariaceae","Penstemon hallii"
"1492","Asteraceae","Chaenactis alpina"
"1498","Scrophulariaceae","Penstemon glaber"
"1499","Fabaceae","Oxytropis lambertii"
"1502","Scrophulariaceae","Penstemon procerus var. procerus"
"1507","Rosaceae","Pentaphylloides floribunda"
"1515","Rosaceae","Fragaria virginiana"
"1522","Fabaceae","Oxytropis multiceps"
"1523","Polygonaceae","Bistorta bistortoides"
"1533","Cyperaceae","Carex dioica"
"1535","Cyperaceae","Carex brunnescens"
"1549","Cyperaceae","Carex disperma"
"1553","Gentianaceae","Gentianella barbellata"
"1554","Ericaceae","Vaccinium caespitosum"
"1559","Asteraceae","Antennaria rosulata"
"1567","Asteraceae","Erigeron humilis"
"1574","Brassicaceae","Physaria alpina"
"1575","Scrophulariaceae","Penstemon saxosorum"
"1577","Grossulariaceae","Ribes coloradense"
"1578","Scrophulariaceae","Penstemon caespitosus"
"1580","Asteraceae","Erigeron lanatus"
"1585","Poaceae","Poa secunda J. Presl ssp. secunda"
"1590","Poaceae","Dactylis glomerata"
"1592","Asteraceae","Erigeron vetensis"
"1593","Asteraceae","Ligularia bigelovii"
"1595","Asteraceae","Senecio eremophilus Richardson ssp. Kingii Greenm."
"1599","Brassicaceae","Thlaspi arvense"
"1600","Pinaceae","Pinus contorta ssp. latifolia"
"1601","Ranunculaceae","Ranunculus acriformis var. acriformis"
"1604","Ranunculaceae","Caltha leptosepala ssp. leptosepala"
"1609","Poaceae","Elymus lanceolatus ssp. riparius"
"1617","Asteraceae","Artemisia arctica ssp. arctica"
"1619","Fabaceae","Artemisia pattersonii"
"1628","Poaceae","Festuca brachyphylla var. coloradensis"
"1636","Saxifragaceae","Saxifraga cespitosa ssp. monticola"
"1643","Cyperaceae","Eriophorum chamissonis"
"1647","Asteraceae","Packera neomexicana var. mutabilis"
"1648","Asteraceae","Senecio integerrimus var. exaltatus"
"1649","Asteraceae","Senecio pudicus"
"1650","Asteraceae","Lactuca tatarica var. pulchella"
"1654","Pinaceae","Pinus aristata"
"1658","Asteraceae","Ericameria nauseosa var. oreophila"
"1659","Brassicaceae","Thlaspi montanum var. montanum"
"1660","Asteraceae","Senecio eremophilus var. kingii"
"1664","Asteraceae","Hieracium gracile"
"1669","Asteraceae","Senecio bigelovii var. bigelovii"
"1675","Asteraceae","Dieteria bigelovii var. bigelovii"
"1676","Amblystegiaceae","Sarmenthypnum sarmentosum"
"1680","Cupressaceae","Juniperus communis var. saxatilis"
"1681","Ranunculaceae","Trollius laxus var. albiflorus"
"1690","Poaceae","Hordeum jubatum"
"1691","Pinaceae","Pinus contorta var. latifolia"
"1696","Amblystegiaceae","Warnstorfia exannulata exannulata"
"1697","Aulacomniaceae","Aulacomnium palustre"
"1698","Hypnaceae","Hypnum revolutum"
"1699","Polytrichaceae","Polytrichastrum alpinum var. alpinum"
"1703","Asteraceae","Packera cana"
"1708","Ophioglossaceae","Botrychium echo"
"1709","Ophioglossaceae","Botrychium lunaria"
"1710","Ophioglossaceae","Botrychium minganense"
"1711","Asteraceae","Erigeron grandiflorus"
"1713","Salicaceae","Salix reticulata var. nivalis"
"1714","Salicaceae","Salix monticola"
"1719","Santalaceae","Comandra umbellata ssp. pallida"
"1720","Fabaceae","Vicia americana ssp. minor"
"1721","Polygonaceae","Eriogonum lachnogynum"
"1722","Poaceae","Piptatherum micranthum"
"1723","Alliaceae","Allium textile"
"1724","Solanaceae","Quincula lobata"
"1725","Euphorbiaceae","Tragia ramosa"
"1727","Poaceae","Elymus smithii"
"1728","Asteraceae","Townsendia fendleri"
"1733","Ericaceae","Vaccinium cespitosum"
"1734","Orobanchaceae","Pedicularis racemosa"
"1749","Asteraceae","Artemisia arctica"
"1750","Asteraceae","Rudbeckia grandiflora"
"1754","Salicaceae","Salix planifolia"
"1760","Asteraceae","Senecio crocatus"
"1761","Asteraceae","Packera dimorphophylla var. dimorphophylla"
"1763","Asteraceae","Senecio integerrimus"
"1766","Asteraceae","Packera streptanthifolia"
"1773","Asteraceae","Tetradymia stenolepis"
"1777","Ranunculaceae","Trollius laxus"
"1781","Asteraceae","Artemisia frigida"
"1793","Poaceae","Bromus ciliatus var. ciliatus"
"1794","Polemoniaceae","Polemonium pulcherrimum var. delicatum"
"1795","Boraginaceae","Eritrichium nanum var. aretioides"
"1805","Rosaceae","Potentilla glaucophylla glaucophylla"
"1812","Primulaceae","Androsace chamaejasme var. carinata"
"1818","Boraginaceae","Mertensia oblongifolia"
"1836","Asteraceae","Senecio bigelovii var. hallii"
"1842","Asteraceae","Senecio amplectens var. amplectens"
"1844","Rosaceae","Fragaria virginiana var. glauca"
"1846","Salicaceae","Salix scouleriana"
"1850","Fabaceae","Astragalus alpinus"
"1851","Asteraceae","Achillea millefolium var. occidentalis"
"1863","Hydrangeaceae","Jamesia americana"
"1879","Cyperaceae","Carex siccata"
"1882","Ranunculaceae","Anemone multifida var. hudsoniana"
"1889","Brassicaceae","Boechera stricta"
"1890","Ericaceae","Vaccinium myrtillus"
"1896","Caprifoliaceae","Linnaea borealis"
"1901","Adoxaceae","Sambucus racemosa var. microbotrys"
"1902","Adoxaceae","Sambucus racemosa var. melanocarpa"
"1904","Poaceae","Danthonia parryi"
"1906","Scrophulariaceae","Castilleja puberula"
"1907","Liliaceae","Zigadenus elegans ssp. elegans"
"1912","Poaceae","Poa nemoralis var. interior"
"1928","Dryopteridaceae","Cystopteris reevesiana"
"1929","Dryopteridaceae","Cystopteris fragilis"
"1930","Dryopteridaceae","Cystopteris montana"
"1931","Fabaceae","Thermopsis rhombifolia var. divaricarpa"
"1933","Fabaceae","Trifolium dasyphyllum ssp. dasyphyllum"
"1943","Violaceae","Viola vallicola var. major"
"1947","Rosaceae","Dryas octopetala var. hookeriana"
"1949","Onagraceae","Epilobium hornemannii ssp. hornemannii"
"1956","Arthoniaceae","Arthonia glebosa"
"1957","Acarosporaceae","Acarospora chlorophana"
"1958","Parmeliaceae","Cetraria islandica"
"1963","Parmeliaceae","Cetraria nivalis"
"1968","Parmeliaceae","Cetraria tilesii"
"1969","Cladoniaceae","Cladonia sulphurina"
"1970","Grossulariaceae","Ribes laxiflorum"
"1973","Brassicaceae","Draba stenoloba"
"1977","Umbilicariaceae","Umbilicaria virginis"
"1980","Uncertain lichen family","Thamnolia subuliformis"
"1986","Thrombiaceae","Thrombium epigaeum"
"1987","Peltigeraceae","Solorina crocea"
"1991","Acarosporaceae","Sporastatia testudinea"
"1994","Stereocaulaceae","Stereocaulon glareosum"
"1995","Stereocaulaceae","Stereocaulon rivulorum"
"1997","Pertusariaceae","Ochrolechia frigida"
"1998","Verrucariaceae","Polyblastia bryophila"
"1999","Peltigeraceae","Peltigera spuria"
"2000","Physciaceae","Physcia muscigena"
"2001","Peltigeraceae","Peltigera aphthosa"
"2002","Parmeliaceae","Parmelia taractica"
"2004","Lecanoraceae","Omphalodium arizonicum"
"2005","Pannariaceae","Pannaria pezizoides"
"2006","Parmeliaceae","Parmelia conspersa"
"2011","Gyalectaceae","Gyalecta erythrozona"
"2012","Gyalectaceae","Gyalecta foveolaris"
"2013","Parmeliaceae","Hypogymnia intestiniformis"
"2014","Lichinaceae","Ephebe lanata"
"2015","Parmeliaceae","Evernia divaricata"
"2016","Lecideaceae","Lecidea armeniaca"
"2017","Lecideaceae","Lecidea atrobrunnea"
"2018","Lecanoraceae","Lecanora epibryon"
"2019","Lecideaceae","Lecidea novomexicana"
"2020","Lecanoraceae","Lecanora rupicola"
"2021","Parmeliaceae","Dactylina madreporiformis"
"2026","Verrucariaceae","Dermatocarpon miniatum"
"2027","Verrucariaceae","Dermatocarpon waltheri"
"2028","Parmeliaceae","Cornicularia aculeata"
"2031","Caliciaceae","Cyphelium lucidum"
"2034","Asteraceae","Agoseris aurantiaca var. aurantiaca"
"2046","Grossulariaceae","Ribes inerme var. inerme"
"2048","Saxifragaceae","Heuchera parvifolia var. nivalis"
"2050","Poaceae","Agrostis idahoensis"
"2052","Poaceae","Agrostis scabra var. scabra"
"2057","Poaceae","Oryzopsis hymenoides"
"2060","Poaceae","Phleum pratense"
"2061","Asteraceae","Gaillardia aristata"
"2076","Rosaceae","Geum triflorum"
"2078","Iridaceae","Sisyrinchium montanum"
"2079","Juncaceae","Juncus albescens"
"2085","Liliaceae","Veratrum californicum"
"2089","Lycopodiaceae","Huperzia selago var. selago"
"2090","Lycopodiaceae","Lycopodium annotinum"
"2091","Dryopteridaceae","Phanerophlebia auriculata"
"2096","Liliaceae","Zigadenus virescens"
"2097","Adiantaceae","Cryptogramma acrostichoides"
"2099","Cupressaceae","Juniperus scopulorum"
"2101","Selaginellaceae","Selaginella densa var. standleyi"
"2102","Selaginellaceae","Selaginella densa var. scopulorum"
"2103","Pinaceae","Picea engelmannii"
"2105","Apiaceae","Oreoxis alpina ssp. alpina"
"2110","Boraginaceae","Mertensia alpina"
"2118","Brassicaceae","Erysimum capitatum var. capitatum"
"2121","Brassicaceae","Descurainia pinnata"
"2129","Caryophyllaceae","Arenaria lanuginosa var. saxosa"
"2132","Caryophyllaceae","Minuartia biflora"
"2143","Caryophyllaceae","Lychnis apetala"
"2146","Asteraceae","Heterotheca fulcrata"
"2148","Gentianaceae","Gentianopsis thermalis"
"2154","Nymphaeaceae","Nuphar luteum"
"2158","Asteraceae","Tetraneuris acaulis"
"2159","Asteraceae","Tetraneuris acaulis var. acaulis"
"2160","Ranunculaceae","Anemone narcissiflora var. zephyra"
"2162","Polygonaceae","Rumex densiflorus"
"2172","Asteraceae","Tetraneuris brandegeei"
"2182","Asteraceae","Tetraneuris grandiflora"
"2183","Ericaceae","Pyrola minor"
"2185","Ranunculaceae","Aconitum columbianum ssp. columbianum"
"2191","Ranunculaceae","Anemone parviflora"
"2192","Ranunculaceae","Ranunculus pygmaeus"
"2193","Ranunculaceae","Ranunculus karelinii"
"2202","Ranunculaceae","Pulsatilla patens"
"2205","Rosaceae","Dasiphora floribunda"
"2207","Rosaceae","Fragaria vesca var. bracteata"
"2214","Rosaceae","Potentilla nivea var. pentaphylla"
"2222","Salicaceae","Populus tremuloides"
"2227","Saxifragaceae","Parnassia fimbriata"
"2252","Scrophulariaceae","Pedicularis procera"
"2265","Scrophulariaceae","Penstemon confertus"
"2268","Violaceae","Viola biflora"
"2269","Violaceae","Viola canadensis"
"2271","Violaceae","Viola palustris"
"2274","Rosaceae","Potentilla glaucophylla var. glaucophylla"
"2276","","Carex haydeniana var. decumbens"
"2278","Poaceae","Agropyron trachycaulum var. glaucum"
"2281","Plantaginaceae","Besseya ritteriana"
"2291","Asteraceae","Erigeron vagus"
"2299","Asteraceae","Xanthisma coloradoense"
"2301","Poaceae","Poa aperta"
"2302","Poaceae","Poa cusickii"
"2303","Poaceae","Graphephorum wolfii"
"2305","Amaryllidaceae","Allium geyeri"
"2308","Asteraceae","Erigeron glacialis var. glacialis"
"2312","Plantaginaceae","Penstemon glaber"
"2315","Rosaceae","Potentilla ledebouriana"
"2317","","Eritrichium aretioides"
"2319","Brassicaceae","Erysimum capitatum var. nivale"
"2320","Ranunculaceae","Anemone multifida var. globosa"
"2322","Plantaginaceae","Besseya alpina"
"2324","Saxifragaceae","Heuchera hallii"
"2328","","Physaria scrotiformis"
"2330","Pinaceae","Abies concolor"
"2331","Cyperaceae","Eriophorum scheuchzeri"
"2333","Ericaceae","Gaultheria humifusa"
"2335","Polygonaceae","Bistorta vivipara"
"2339","Rubiaceae","Galium trifidum"
"2340","Apiaceae","Osmorhiza depauperata"
"2341","Liliaceae","Streptopus amplexifolius"
"2342","Saxifragaceae","Mitella stauropetala"
"2343","Caryophyllaceae","Silene drummondii var. striata"
"2350","Amaryllidaceae","Allium geyeri var. tenerum"
"2352","Ophioglossaceae","Botrychium pinnatum"
"2360","Poaceae","Elymus trachycaulus ssp.trachycaulus"
"2361","Poaceae","Bromus inermis var inermis"
"2364","Poaceae","Phleum alpinum var. commutatum"
"2365","Poaceae","Poa fendleriana ssp. longiligula"
"2369","Poaceae","Daschampsia cespitosa"
"2370","Poaceae","Trisetum wolfii"
"2378","Poaceae","Elymus bakeri"
"2387","Poaceae","Elymus trachycaulus"
"2393","Poaceae","Poa alpina Linnaeus"
"2395","","Salix planifolia Pursh"
"2396","","Ribes montigenum McClatchie"
"2397","","Castilleja rhexiifolia Rydb."
"2398","","Penstemon fruticosus (Pursh) Greene"
"2399","","Penstemon whippleanus Gray"
"2400","","Linaria vulgaris P. Mill."
"2401","","Potentilla jucunda A. Nels."
"2402","","Aconitum columbianum Nutt."
"2403","","Aquilegia coerulea James"
"2404","","Bistorta bistortoides (Pursh) Small"
"2405","","Polemonium foliosissimum Gray"
"2406","","Chamerion angustifolium (L.) Holub"
"2407","","Ligusticum porteri Coult. & Rose"
"2408","","Salix brachycarpa Nutt."
"2410","","Salix glauca L."
"2411","","Salix reticulata L."
"2413","","Veratrum californicum Dur."
"2414","","Anaphalis margaritacea (L.) Benth."
"2415","","Salix boothii Dorn"
"2416","","Heracleum sphondylium L."
"2417","Adoxaceae","Adoxa moschatellina"
"2419","Apiaceae","Cymopterus longilobus"
"2438","Apiaceae","Conioselinum scopulorum"
"2459","Apiaceae","Osmorhiza berteroi"
"2464","Apiaceae","Osmorhiza occidentalis"
"2495","Asteraceae","Agoseris aurantiaca var. purpurea"
"2502","Asteraceae","Agoseris glauca var. dasycephala"
"2513","Asteraceae","Antennaria anaphaloides"
"2536","Asteraceae","Arnica longifolia"
"2560","Asteraceae","Artemisia arctica ssp. saxatilis"
"2565","Asteraceae","Artemisia parryi"
"2569","Asteraceae","Artemisia campestris ssp borealis"
"2580","Asteraceae","Artemisia ludoviciana"
"2583","Asteraceae","Artemisia pattersonii"
"2606","Asteraceae","Artemisia tridentata"
"2607","Asteraceae","Artemisia tridentata ssp. spiciformis"
"2608","Asteraceae","Aster alpinus var. vierhapperi"
"2610","Asteraceae","Eucephalus engelmannii"
"2611","Asteraceae","Symphyotrichum foliaceum var. apricum"
"2618","Asteraceae","Chaenactis douglasii var. alpina"
"2624","Asteraceae","Ericameria parryi var. affinis"
"2625","Asteraceae","Chrysothamnus viscidiflorus ssp. lanceolatus"
"2626","Asteraceae","Chrysothamnus viscidiflorus ssp. viscidiflorus"
"2627","Asteraceae","Cirsium centaureae"
"2629","Asteraceae","Cirsium parryi ssp. parryi"
"2632","Asteraceae","Cirsium pallidum"
"2635","Asteraceae","Cirsium undulatum var. tracyi"
"2645","Asteraceae","Cirsium osterhoutii"
"2646","Asteraceae","Crepis nana"
"2652","Asteraceae","Crepis runcinata"
"2660","Asteraceae","Erigeron acris"
"2688","Asteraceae","Erigeron flagellaris"
"2785","Asteraceae","Erigeron speciosus var. macranthus"
"2786","Asteraceae","Erigeron speciosus var. speciosus"
"2787","Asteraceae","Erigeron subtrinervis var. subtrinervis"
"2788","Asteraceae","Erigeron vreelandii"
"2793","Asteraceae","Erigeron ursinus"
"2805","Asteraceae","Gnaphalium exilifolium"
"2806","Asteraceae","Helianthella parryi"
"2811","Asteraceae","Heliomeris multiflora"
"2812","Asteraceae","Heterotheca pumila"
"2813","Asteraceae","Heterotheca foliosa"
"2844","Asteraceae","Stenotus acaulis"
"2870","Asteraceae","Hymenoxys richardsonii var. richardsonii"
"2871","Asteraceae","Iva axillaris"
"2872","Asteraceae","Machaeranthera bigelovii var. bigelovii"
"2875","Asteraceae","Machaeranthera canescens var. canescens"
"2883","Asteraceae","Pyrrocoma clementis var. clementis"
"2889","Asteraceae","Pyrrocoma crocea var. crocea"
"2892","Asteraceae","Rudbeckia montana"
"2963","Asteraceae","Packera dimorphophylla"
"3001","Asteraceae","Packera multilobata"
"3023","Asteraceae","Senecio taraxacoides"
"3033","Asteraceae","Packera tridenticulata"
"3056","Asteraceae","Solidago missouriensis"
"3058","Asteraceae","Solidago multiradiata var. scopulorum"
"3089","Asteraceae","Taraxacum officinale ssp. ceratophorum"
"3095","Asteraceae","Taraxacum laevigatum"
"3096","Asteraceae","Taraxacum officinale"
"3097","Asteraceae","Tonestus lyallii"
"3122","Asteraceae","Townsendia exscapa"
"3123","Asteraceae","Townsendia grandiflora"
"3144","Boraginaceae","Hackelia floribunda"
"3147","Boraginaceae","Mertensia fusiformis"
"3149","Boraginaceae","Mertensia lanceolata var. nivalis"
"3180","Boraginaceae","Myosotis asiatica"
"3182","Boraginaceae","Plagiobothrys scouleri var. hispidulus"
"3184","Brassicaceae","Boechera grahamii"
"3186","Brassicaceae","Boechera lemmonii"
"3189","Brassicaceae","Braya glabella"
"3193","Brassicaceae","Braya humilis"
"3204","Brassicaceae","Cardamine cordifolia var. incana"
"3216","Brassicaceae","Cardamine pensylvanica"
"3217","Brassicaceae","Descurainia incisa ssp. incisa"
"3218","Brassicaceae","Descurainia pinnata ssp. brachycarpa"
"3219","Brassicaceae","Descurainia incana"
"3220","Brassicaceae","Descurainia sophia"
"3221","Brassicaceae","Draba albertina"
"3236","Brassicaceae","Draba breweri var. cana"
"3259","Brassicaceae","Draba exunguiculata"
"3271","Brassicaceae","Draba helleriana"
"3274","Brassicaceae","Draba incerta"
"3275","Brassicaceae","Draba lonchocarpa"
"3282","Brassicaceae","Draba nemorosa"
"3294","Brassicaceae","Draba malpighiacea"
"3319","Brassicaceae","Draba ventosa"
"3345","Brassicaceae","Erysimum cheiranthoides"
"3346","Brassicaceae","Lesquerella montana"
"3403","Callitrichaceae","Callitriche palustris"
"3406","Campanulaceae","Campanula parryi var. parryi"
"3431","Caprifoliaceae","Sambucus racemosa"
"3459","Caryophyllaceae","Moehringia macrophylla"
"3487","Caryophyllaceae","Minuartia stricta"
"3502","Caryophyllaceae","Cerastium arvense ssp. strictum"
"3530","Caryophyllaceae","Silene drummondii ssp. drummondii"
"3531","Caryophyllaceae","Silene drummondii ssp. striata"
"3541","Caryophyllaceae","Sagina saginoides"
"3560","Caryophyllaceae","Silene hitchguirei"
"3562","Caryophyllaceae","Silene uralensis"
"3565","Caryophyllaceae","Spergularia rubra"
"3566","Caryophyllaceae","Stellaria calycantha"
"3568","Caryophyllaceae","Stellaria crassifolia var. crassifolia"
"3591","Celastraceae","Paxistima myrsinites"
"3642","Cupressaceae","Juniperus communis var. depressa"
"3691","Cyperaceae","Carex capitata ssp. arctogena"
"3708","Cyperaceae","Carex bigelowii"
"3716","Cyperaceae","Carex canescens ssp. canescens"
"3739","Cyperaceae","Carex douglasii"
"3783","Cyperaceae","Carex engelmannii"
"3789","Cyperaceae","Carex filifolia"
"3809","Cyperaceae","Carex hallii"
"3821","Cyperaceae","Carex inops ssp. heliophila"
"3861","Cyperaceae","Carex hoodii"
"3870","Cyperaceae","Carex incurviformis var. danaensis"
"3880","Cyperaceae","Carex interior"
"3881","Cyperaceae","Carex norvegica ssp. stevenii"
"3892","Cyperaceae","Carex misandra"
"3894","Cyperaceae","Carex nebrascensis"
"3940","Cyperaceae","Carex occidentalis"
"3941","Cyperaceae","Carex oreocharis"
"3942","Cyperaceae","Carex magellanica ssp. irrigua"
"3943","Cyperaceae","Carex pelocarpa"
"3949","Cyperaceae","Carex petasata"
"3962","Cyperaceae","Carex pityophila"
"3963","Cyperaceae","Carex praeceptorum"
"3968","Cyperaceae","Carex pseudoscirpoidea"
"3971","Cyperaceae","Carex pyrenaica ssp. pyrenaica"
"3987","Cyperaceae","Carex utriculata"
"3990","Cyperaceae","Carex rupestris var. drummondiana"
"4034","Cyperaceae","Carex vesicaria var. vesicaria"
"4035","Cyperaceae","Carex viridula ssp. viridula"
"4036","Cyperaceae","Eleocharis parvula"
"4038","Cyperaceae","Eleocharis palustris"
"4040","Cyperaceae","Eriophorum gracile var. gracile"
"4041","Cyperaceae","Eriophorum angustifolium ssp. scabriusculum"
"4047","Cyperaceae","Eriophorum altaicum var. neogaeum"
"4069","Cyperaceae","Kobresia sibirica"
"4080","Cyperaceae","Trichophorum pumilum"
"4081","Cyperaceae","Schoenoplectus tabernaemontani"
"4084","Equisetaceae","Equisetum arvense"
"4094","Ericaceae","Kalmia microphylla"
"4120","Ericaceae","Rhododendron albiflorum"
"4121","Ericaceae","Vaccinium caespitosum var. caespitosum"
"4137","Fabaceae","Astragalus australis"
"4142","Fabaceae","Astragalus laxmannii var. robustior"
"4149","Fabaceae","Astragalus miser var. oblongifolius"
"4153","Fabaceae","Astragalus robbinsii var. minor"
"4155","Fabaceae","Astragalus scopulorum"
"4158","Fabaceae","Lupinus argenteus var. rubricaulis"
"4166","Fabaceae","Oxytropis podocarpa"
"4174","Fabaceae","Oxytropis sericea var. sericea"
"4177","Fabaceae","Oxytropis splendens"
"4185","Fabaceae","Trifolium brandegeei"
"4187","Fabaceae","Trifolium dasyphyllum var. dasyphyllum"
"4208","Fabaceae","Trifolium longipes"
"4224","Fabaceae","Trifolium parryi ssp. parryi"
"4246","Fabaceae","Trifolium repens"
"4247","Fabaceae","Vicia americana ssp. americana"
"4248","Fumariaceae","Corydalis caseana ssp. brandegei"
"4282","Gentianaceae","Gentiana fremontii"
"4302","Gentianaceae","Gentianella tenella"
"4330","Geraniaceae","Geranium caespitosum"
"4336","Grossulariaceae","Ribes cereum"
"4344","Grossulariaceae","Ribes lacustre"
"4358","Haloragaceae","Myriophyllum sibiricum"
"4359","Hydrangeaceae","Jamesia americana var. americana"
"4360","Hydrocharitaceae","Elodea canadensis"
"4361","Hydrophyllaceae","Hydrophyllum capitatum var. capitatum"
"4362","Hydrophyllaceae","Hydrophyllum fendleri var. fendleri"
"4364","Hydrophyllaceae","Phacelia bakeri"
"4369","Hydrophyllaceae","Phacelia sericea ssp. sericea"
"4391","Isoetaceae","Isoetes echinospora"
"4393","Isoetaceae","Isoetes occidentalis"
"4395","Juncaceae","Juncus balticus"
"4396","Juncaceae","Juncus biglumis"
"4443","Juncaceae","Juncus tracyi"
"4445","Juncaceae","Luzula comosa"
"4470","Lamiaceae","Agastache pallidiflora ssp. pallidiflora"
"4471","Lamiaceae","Dracocephalum parviflorum"
"4472","Lamiaceae","Monardella odoratissima var. glauca"
"4473","Liliaceae","Allium brandegeei"
"4488","Liliaceae","Calochortus gunnisonii var. gunnisonii"
"4489","Liliaceae","Erythronium grandiflorum ssp. chrysandrum"
"4514","Liliaceae","Veratrum tenuipetalum"
"4539","Linaceae","Linum lewisii var. lewisii"
"4544","Malvaceae","Sidalcea candida"
"4545","Monotropaceae","Pterospora andromedea"
"4546","Onagraceae","Epilobium anagallidifolium"
"4547","Onagraceae","Chamerion angustifolium var. canescens"
"4555","Onagraceae","Epilobium ciliatum ssp. ciliatum"
"4558","Onagraceae","Epilobium ciliatum ssp. glandulosum"
"4561","Onagraceae","Epilobium halleanum"
"4572","Onagraceae","Epilobium latifolium"
"4580","Onagraceae","Gayophytum ramosissimum"
"4581","Ophioglossaceae","Botrychium lanceolatum var. lanceolatum"
"4588","Orchidaceae","Corallorhiza maculata"
"4589","Orchidaceae","Platanthera dilatata var. albiflora"
"4591","Orchidaceae","Platanthera obtusata"
"4593","Orchidaceae","Listera cordata var. nephrophylla"
"4600","Pinaceae","Abies concolor var. concolor"
"4611","Pinaceae","Pinus flexilis"
"4614","Pinaceae","Pseudotsuga menziesii var. glauca"
"4615","Plantaginaceae","Plantago tweedyi"
"4616","Plantaginaceae","Plantago major"
"4621","Plumbaginaceae","Armeria maritima ssp. labradorica"
"4625","Poaceae","Elymus lanceolatus ssp. lanceolatus"
"4650","Poaceae","Agrostis mertensii"
"4651","Poaceae","Agrostis exarata"
"4652","Poaceae","Agrostis humulis"
"4667","Poaceae","Alopecurus aequalis var. aequalis"
"4668","Poaceae","Alopecurus alpinus"
"4671","Poaceae","Beckmannia syzigachne"
"4678","Poaceae","Bromus lanatipes"
"4701","Poaceae","Calamagrostis rubescens"
"4703","Poaceae","Catabrosa aquatica"
"4713","Poaceae","Vahlodea atropurpurea"
"4729","Poaceae","Festuca arizonica"
"4787","Poaceae","Hierochloe hirta ssp. arctica"
"4790","Poaceae","Hordeum brachyantherum ssp. brachyantherum"
"4792","Poaceae","Muhlenbergia filiculmis"
"4794","Poaceae","Muhlenbergia montana"
"4843","Poaceae","Poa cusickii ssp. epilis"
"4861","Poaceae","Poa nemoralis ssp. interior"
"4870","Poaceae","Poa pattersonii"
"4921","Poaceae","Poa stenantha"
"4924","Poaceae","Elymus elymoides ssp. elymoides"
"4929","Poaceae","Achnatherum occidentale ssp. occidentale"
"4964","Polemoniaceae","Collomia linearis"
"4968","Polemoniaceae","Ipomopsis aggregata ssp. aggregata"
"4978","Polemoniaceae","Ipomopsis tenuituba"
"4979","Polemoniaceae","Linanthus nuttallii ssp. nuttallii"
"5044","Polemoniaceae","Polemonium brandegeei"
"5053","Polygonaceae","Eriogonum jamesii var. xanthum"
"5059","Polygonaceae","Eriogonum racemosum"
"5060","Polygonaceae","Eriogonum umbellatum var. aureum"
"5061","Polygonaceae","Eriogonum umbellatum var. majus"
"5063","Polygonaceae","Koenigia islandica"
"5083","Polygonaceae","Persicaria amphibia"
"5084","Polygonaceae","Polygonum aviculare"
"5113","Polygonaceae","Polygonum sagittatum"
"5135","Polygonaceae","Rumex occidentalis"
"5137","Polygonaceae","Rumex utahensis"
"5138","Dryopteridaceae","Athyrium americanum"
"5139","Dryopteridaceae","Athyrium filix-femina"
"5140","Pteridaceae","Cryptogramma stelleri"
"5150","Dryopteridaceae","Polystichum lonchitis"
"5180","Portulacaceae","Lewisia triphylla"
"5192","Potamogetonaceae","Potamogeton pusillus ssp. pusillus"
"5193","Potamogetonaceae","Stuckenia vaginata"
"5194","Potamogetonaceae","Stuckenia pectinatus"
"5195","Potamogetonaceae","Potamogeton praelongus"
"5214","Primulaceae","Dodecatheon pulchellum var. pulchellum"
"5252","Pyrolaceae","Pyrola asarifolia ssp. asarifolia"
"5289","Ranunculaceae","Aquilegia coerulea var. coerulea"
"5303","Ranunculaceae","Aquilegia saximontana"
"5333","Ranunculaceae","Delphinium ramosum"
"5334","Ranunculaceae","Pulsatilla patens ssp. multifida"
"5339","Ranunculaceae","Ranunculus inamoenus var. inamoenus"
"5340","Ranunculaceae","Ranunculus alismifolius var. montanus"
"5359","Ranunculaceae","Ranunculus eschscholtzii var. eschscholtzii"
"5368","Ranunculaceae","Ranunculus gelidus"
"5387","Ranunculaceae","Ranunculus cardiophyllus"
"5389","Ranunculaceae","Ranunculus pedatifidus var. affinis"
"5397","Ranunculaceae","Ranunculus flammula var. ovalis"
"5413","Ranunculaceae","Thalictrum venulosum"
"5414","Ranunculaceae","Trautvetteria caroliniensis var. occidentalis"
"5424","Rosaceae","Amelanchier alnifolia var. alnifolia"
"5442","Rosaceae","Fallugia paradoxa"
"5485","Rosaceae","Holodiscus dumosus"
"5494","Rosaceae","Potentilla concinna var. concinna"
"5527","Rosaceae","Potentilla hippiana var. hippiana"
"5541","Rosaceae","Potentilla norvegica"
"5542","Rosaceae","Potentilla ovina var. ovina"
"5548","Rosaceae","Comarum palustre"
"5549","Rosaceae","Potentilla pensylvanica var. bipinnatifida"
"5582","Rosaceae","Rosa woodsii"
"5583","Rosaceae","Rosa acicularis ssp. sayi"
"5585","Rosaceae","Rubus idaeus ssp. strigosus"
"5600","Rosaceae","Sorbus scopulina var. scopulina"
"5601","Rubiaceae","Galium boreale"
"5603","Rubiaceae","Galium triflorum"
"5604","Salicaceae","Populus balsamifera ssp. balsamifera"
"5644","Salicaceae","Salix calcicola"
"5647","Salicaceae","Salix geyeriana"
