"Family.Name","scientificName"
"60","Ranunculaceae","Delphinium nuttallianum var. nuttallianum"
"61","Poaceae","Deschampsia cespitosa var. cespitosa"
"62","Apiaceae","Oxypolis fendleri"
"63","Ericaceae","Vaccinium myrtillus var. oreophilum"
"64","Poaceae","Poa rupicola"
"65","Poaceae","Trisetum spicatum"
"66","Poaceae","Poa cusickii var. epilis"
"67","Poaceae","Poa palustris"
"69","Rosaceae","Potentilla diversifolia var. diversifolia"
"70","Saxifragaceae","Saxifraga bronchialis var. austromontana"
"71","Poaceae","Poa arctica var. grayana"
"73","Brassicaceae","Noccaea montana"
"74","Boraginaceae","Mertensia arizonica"
"75","Boraginaceae","Mertensia viridis"
"77","Asteraceae","Townsendia rothrockii"
"78","Cyperaceae","Carex egglestonii"
"79","Poaceae","Agrostis stolonifera"
"80","Asteraceae","Senecio bigelovii"
"81","Cyperaceae","Carex haydeniana"
"84","Cyperaceae","Carex ebenea"
"88","Cyperaceae","Carex microptera"
"91","Cyperaceae","Carex limnophila"
"94","Salicaceae","Salix reticulata"
"95","Salicaceae","Salix brachycarpa"
"96","Polemoniaceae","Polemonium confertum"
"101","","Phleum pratensis"
"102","Elaeagnaceae","Shepherdia canadensis"
"103","Cyperaceae","Carex chalciolepis"
"107","Portulacaceae","Claytonia megarhiza"
"108","Juncaceae","Luzula spicata"
"110","Cyperaceae","Carex albonigra"
"111","Campanulaceae","Campanula rotundifolia"
"112","Poaceae","Elymus trachycaulus ssp. trachycaulus"
"113","Poaceae","Poa fendleriana var. longiligula"
"114","Poaceae","Poa interior"
"117","Fabaceae","Trifolium dasyphyllum"
"119","Asteraceae","Taraxacum ceratophorum"
"123","Brassicaceae","Cardamine cordifolia"
"124","Scrophulariaceae","Pedicularis bracteosa var. paysoniana"
"125","Scrophulariaceae","Mimulus tilingii"
"126","Saxifragaceae","Saxifraga bronchialis"
"127","Caryophyllaceae","Cerastium beeringianum"
"128","Rosaceae","Sibbaldia procumbens"
"129","Polygonaceae","Polygonum viviparum"
"130","Ranunculaceae","Aquilegia coerulea"
"131","Brassicaceae","Rorippa curvipes"
"132","Fabaceae","Trifolium attenuatum"
"133","Valerianaceae","Valeriana acutiloba"
"134","Brassicaceae","Noccaea fendleri"
"135","Saxifragaceae","Saxifraga flagellaris"
"136","Fabaceae","Trifolium nanum"
"137","Primulaceae","Androsace septentrionalis"
"140","Asteraceae","Artemisia scopulorum"
"142","Apiaceae","Oreoxis bakeri"
"144","Asteraceae","Antennaria media"
"145","Onagraceae","Epilobium clavatum"
"146","Gentianaceae","Gentiana parryi"
"147","Rosaceae","Geum rossii var. turbinatum"
"149","Crassulaceae","Sedum rhodanthum"
"150","Asteraceae","Solidago parryi"
"152","Caryophyllaceae","Stellaria umbellata"
"154","Rosaceae","Geum rossii"
"155","Juncaceae","Luzula parviflora"
"156","Scrophulariaceae","Pedicularis racemosa"
"157","Poaceae","Trisetum montanum"
"158","Poaceae","Deschampsia caespitosa"
"159","Pinaceae","Abies lasiocarpa"
"160","Asteraceae","Agoseris aurantiaca"
"161","Poaceae","Agrostis scabra"
"163","Poaceae","Agrostis variabilis"
"165","Apiaceae","Angelica grayi"
"166","Asteraceae","Antennaria corymbosa"
"168","Caryophyllaceae","Arenaria fendleri var. fendleri"
"169","Asteraceae","Artemisia campestris ssp. borealis"
"170","Asteraceae","Artemisia dracunculus"
"172","Scrophulariaceae","Besseya ritteriana"
"173","Poaceae","Bromus ciliatus"
"179","Cyperaceae","Carex illota"
"181","Cyperaceae","Carex lenticularis"
"183","Cyperaceae","Carex aquatilis var. aquatilis"
"184","Cyperaceae","Carex athrostachya"
"185","Cyperaceae","Carex bella"
"186","Cyperaceae","Carex canescens"
"190","Cyperaceae","Carex geyeri"
"191","","Carex bella x chalciolepis"
"194","Cyperaceae","Carex nigricans"
"195","Cyperaceae","Carex nova"
"198","Cyperaceae","Carex phaeocephala"
"201","Cyperaceae","Carex pyrenaica"
"202","Cyperaceae","Carex saxatilis"
"203","Cyperaceae","Carex scirpoidea"
"204","Cyperaceae","Carex scopulorum"
