Species_ID,Common_Name,Kingdom,Genus,Species,ITIS_Taxonomic_SN,Active,Cloned,USDA_Symbol,Date_Added,Functional_Type
131,blue grama,Plantae,Bouteloua,gracilis,41493,1,0,BOGR2,8/25/2008 0:00,Graminoid
132,red brome,Plantae,Bromus,rubens,40518,1,0,BRRU2,8/25/2008 0:00,Graminoid
133,cheatgrass,Plantae,Bromus,tectorum,40524,1,0,BRTE,8/25/2008 0:00,Graminoid
134,buffalograss,Plantae,Buchloe,dactyloides,41533,1,0,BODA2,8/25/2008 0:00,Graminoid
135,tufted hairgrass,Plantae,Deschampsia,cespitosa,502001,1,0,DECE,8/25/2008 0:00,Graminoid
136,needle and thread,Plantae,Hesperostipa,comata,507974,1,0,HECO26,8/25/2008 0:00,Graminoid
137,switchgrass,Plantae,Panicum,virgatum,40913,1,0,PAVI2,8/25/2008 0:00,Graminoid
138,western wheatgrass,Plantae,Pascopyrum,smithii,504124,1,0,PASM,8/25/2008 0:00,Graminoid
139,buffelgrass,Plantae,Pennisetum,ciliare,504198,1,0,PECI,8/25/2008 0:00,Graminoid
140,common reed,Plantae,Phragmites,australis,41072,1,0,PHAU7,8/25/2008 0:00,Graminoid
141,bluebunch wheatgrass,Plantae,Pseudoroegneria,spicata,504637,1,0,PSSP6,8/25/2008 0:00,Graminoid
142,wheat,Plantae,Triticum,spp.,42236,1,0,TRITI,8/25/2008 0:00,Graminoid
143,guineagrass,Plantae,Urochloa,maxima,507480,1,0,URMA3,8/25/2008 0:00,Graminoid
144,common yarrow,Plantae,Achillea,millefolium,35423,1,0,ACMI2,8/25/2008 0:00,Forb
145,annual ragweed,Plantae,Ambrosia,artemisiifolia,36496,1,0,AMAR2,8/25/2008 0:00,Forb
146,cuman ragweed,Plantae,Ambrosia,psilostachya,36516,1,0,AMPS,8/25/2008 0:00,Forb
147,red columbine,Plantae,Aquilegia,canadensis,18730,1,0,AQCA,8/25/2008 0:00,Forb
148,Colorado blue columbine,Plantae,Aquilegia,caerulea,565004,1,0,AQCO,8/25/2008 0:00,Forb
149,western columbine,Plantae,Aquilegia,formosa,18738,1,0,AQFO,8/25/2008 0:00,Forb
150,jack in the pulpit,Plantae,Arisaema,triphyllum,42525,1,0,ARTR,8/25/2008 0:00,Forb
151,soft greeneyes,Plantae,Berlandiera,pumila,36833,1,0,BEPU2,8/25/2008 0:00,Forb
152,field mustard,Plantae,Brassica,rapa,23063,1,0,BRRA,8/25/2008 0:00,Forb
153,Asian mustard,Plantae,Brassica,tournefortii,23064,1,0,BRTO,8/25/2008 0:00,Forb
154,yellow star-thistle,Plantae,Centaurea,solstitialis,36972,1,0,CESO3,8/25/2008 0:00,Forb
155,spotted knapweed,Plantae,Centaurea,stoebe,780246,1,0,CEST8,8/25/2008 0:00,Forb
156,Canada thistle,Plantae,Cirsium,arvense,36335,1,0,CIAR4,8/25/2008 0:00,Forb
157,lanceleaf springbeauty,Plantae,Claytonia,lanceolata,20390,1,0,CLLA2,8/25/2008 0:00,Forb
158,pride of Ohio,Plantae,Dodecatheon,meadia,23969,1,0,DOME,8/25/2008 0:00,Forb
159,darkthroat shooting star,Plantae,Dodecatheon,pulchellum,23945,1,0,DOPU,8/25/2008 0:00,Forb
160,white fawnlily,Plantae,Erythronium,albidum,42927,1,0,ERAL9,8/25/2008 0:00,Forb
161,dogtooth violet,Plantae,Erythronium,americanum,196365,1,0,ERAM5,8/25/2008 0:00,Forb
162,California poppy,Plantae,Eschscholzia,californica,18956,1,0,ESCA2,8/25/2008 0:00,Forb
163,leafy spurge,Plantae,Euphorbia,esula,28064,1,0,EUES,8/25/2008 0:00,Forb
164,soybean,Plantae,Glycine,max,26716,1,0,GLMA4,8/25/2008 0:00,Forb
165,common cowparsnip,Plantae,Heracleum,maximum,502953,1,0,HEMA80,8/25/2008 0:00,Forb
166,jewelweed,Plantae,Impatiens,capensis,29182,1,0,IMCA,8/25/2008 0:00,Forb
167,scarlet gilia,Plantae,Ipomopsis,aggregata,31192,1,0,IPAG,8/25/2008 0:00,Forb
168,sericia lespedeza,Plantae,Lespedeza,cuneata,25898,1,0,LECU,8/25/2008 0:00,Forb
169,bitter root,Plantae,Lewisia,rediviva,20490,1,0,LERE7,8/25/2008 0:00,Forb
170,sundial lupine,Plantae,Lupinus,perennis,26091,1,0,LUPE3,8/25/2008 0:00,Forb
171,bigleaf lupine,Plantae,Lupinus,polyphyllus,25921,1,0,LUPO2,8/25/2008 0:00,Forb
172,purple loosestrife,Plantae,Lythrum,salicaria,27079,1,0,LYSA2,8/25/2008 0:00,Forb
173,Canada mayflower,Plantae,Maianthemum,canadense,503653,1,0,MACA4,8/25/2008 0:00,Forb
174,alfalfa,Plantae,Medicago,sativa,183623,1,0,MESA,8/25/2008 0:00,Forb
175,yellow sweetclover,Plantae,Melilotus,officinalis,26150,1,0,MEOF,8/25/2008 0:00,Forb
176,Virginia bluebells,Plantae,Mertensia,virginica,31673,1,0,MEVI3,8/25/2008 0:00,Forb
177,Eurasian watermilfoil,Plantae,Myriophyllum,spicatum,27039,1,0,MYSP2,8/25/2008 0:00,Forb
178,common evening primrose,Plantae,Oenothera,biennis,27368,1,0,OEBI,8/25/2008 0:00,Forb
179,tufted evening primrose,Plantae,Oenothera,caespitosa,565328,1,0,OECA10,8/25/2008 0:00,Forb
180,pinkladies,Plantae,Oenothera,speciosa,27415,1,0,OESP2,8/25/2008 0:00,Forb
181,mountain woodsorrel,Plantae,Oxalis,montana,29090,1,0,OXMO,8/25/2008 0:00,Forb
182,purple passionflower,Plantae,Passiflora,incarnata,504139,1,0,PAIN6,8/25/2008 0:00,Forb
183,silverleaf phacelia,Plantae,Phacelia,hastata,31529,1,0,PHHA,8/25/2008 0:00,Forb
184,Japanese knotweed,Plantae,Polygonum,cuspidatum,20889,1,0,POCU6,8/25/2008 0:00,Forb
185,eastern pasqueflower,Plantae,Pulsatilla,patens,18799,1,0,PUPA5,8/25/2008 0:00,Forb
186,Missouri goldenrod,Plantae,Solidago,missouriensis,36277,1,0,SOMI2,8/25/2008 0:00,Forb
187,scarlet globemallow,Plantae,Sphaeralcea,coccinea,21920,1,0,SPCO,8/25/2008 0:00,Forb
188,woodland pinkroot,Plantae,Spigelia,marilandica,505330,1,0,SPMA3,8/25/2008 0:00,Forb
189,common dandelion,Plantae,Taraxacum,officinale,36213,1,0,TAOF,8/25/2008 0:00,Forb
190,bluejacket,Plantae,Tradescantia,ohiensis,39169,1,0,TROH,8/25/2008 0:00,Forb
191,white clover,Plantae,Trifolium,repens,26206,1,0,TRRE3,8/25/2008 0:00,Forb
192,red trillium,Plantae,Trillium,erectum,43070,1,0,TRER3,8/25/2008 0:00,Forb
193,Pacific trillium,Plantae,Trillium,ovatum,43080,1,0,TROV2,8/25/2008 0:00,Forb
194,painted trillium,Plantae,Trillium,undulatum,43092,1,0,TRUN,8/25/2008 0:00,Forb
195,butterfly milkweed,Plantae,Asclepias,tuberosa,30313,1,0,ASTU,8/25/2008 0:00,Forb
197,swamp milkweed,Plantae,Asclepias,incarnata,30241,1,0,ASIN,8/25/2008 0:00,Forb
198,prairie milkweed,Plantae,Asclepias,sullivanti,30309,1,0,ASSU3,8/25/2008 0:00,Forb
199,common milkweed,Plantae,Asclepias,syriaca,30310,1,0,ASSY,8/25/2008 0:00,Forb
200,green antelopehorn,Plantae,Asclepias,viridis,30323,1,0,ASVI2,8/25/2008 0:00,Forb
201,common buttonbush,Plantae,Cephalanthus,occidentalis,34786,1,0,CEOC2,8/25/2008 0:00,Deciduous broadleaf
202,eastern purple coneflower,Plantae,Echinacea,purpurea,37281,1,0,ECPU,8/25/2008 0:00,Forb
203,common sunflower,Plantae,Helianthus,annuus,36616,1,0,HEAN3,8/25/2008 0:00,Forb
204,tall blazing star,Plantae,Liatris,aspera,37909,1,0,LIAS,8/25/2008 0:00,Forb
205,stiff goldenrod,Plantae,Oligoneuron,rigidum,508151,1,0,OLRI,8/25/2008 0:00,Forb
206,American plum,Plantae,Prunus,americana,24763,1,0,PRAM,8/25/2008 0:00,Deciduous broadleaf
207,white heath aster,Plantae,Symphyotrichum,ericoides,522202,1,0,SYER,8/25/2008 0:00,Forb
208,white crownbeard,Plantae,Verbesina,virginica,38613,1,0,VEVI3,8/25/2008 0:00,Forb
209,prairie ironweed,Plantae,Vernonia,fasciculata,38629,1,0,VEFA2,8/25/2008 0:00,Forb
210,saguaro,Plantae,Carnegia,gigantea,501299,1,0,CAGI10,8/25/2008 0:00,Cactus
211,shrubby cinquefoil,Plantae,Dasiphora,floribunda,565123,1,0,DAFRF,8/25/2008 0:00,Deciduous broadleaf
212,creole cotton,Plantae,Gossypium,barbadense,21710,1,0,GOBA,8/25/2008 0:00,Forb
213,upland cotton,Plantae,Gossypium,hirsutum,21711,1,0,GOHI,8/25/2008 0:00,Forb
214,Lewis' mock orange,Plantae,Philadelphus,lewisii,24430,1,0,PHLE4,8/25/2008 0:00,Deciduous broadleaf
215,Royen's tree cactus,Plantae,Pilosocereus,royenii,504399,1,0,PIRO6,8/25/2008 0:00,Cactus
216,kudzu,Plantae,Pueraria,montana,504683,1,0,PUMO,8/25/2008 0:00,Deciduous broadleaf
217,Woods' rose,Plantae,Rosa,woodsii,24847,1,0,ROWO,8/25/2008 0:00,Deciduous broadleaf
218,citrus,Plantae,Citrus,spp.,28882,1,0,CITRU2,8/25/2008 0:00,Evergreen broadleaf
219,Great Basin bristlecone pine,Plantae,Pinus,longaeva,183352,1,0,PILO,10/1/2008 0:00,Evergreen conifer
220,limber pine,Plantae,Pinus,flexilis,183343,1,0,PIFL2,10/1/2008 0:00,Evergreen conifer
221,Florida hopbush,Plantae,Dodonaea,viscosa,28675,1,0,DOVI,3/2/2009 0:00,Evergreen broadleaf
222,wild banyantree,Plantae,Ficus,citrifolia,19094,1,0,FICI,3/2/2009 0:00,Evergreen broadleaf
223,spider milkweed,Plantae,Asclepias,asperula,30247,1,0,ASAS,3/2/2009 0:00,Forb
224,showy milkweed,Plantae,Asclepias,speciosa,30304,1,0,ASSP,3/2/2009 0:00,Forb
225,naio,Plantae,Myoporum,sandwicense,34079,1,0,MYSA,3/2/2009 0:00,Semi-deciduous broadleaf
226,mamani,Plantae,Sophora,chrysophylla,505293,1,0,SOCH,3/2/2009 0:00,Evergreen broadleaf
227,Japanese flowering cherry,Plantae,Prunus,serrulata,506233,1,0,PRSE3,3/2/2009 0:00,Deciduous broadleaf
228,Yoshino cherry,Plantae,Prunus,yedoensis,NULL,1,0,PRYE,3/2/2009 0:00,Deciduous broadleaf
289,oneseed juniper,Plantae,Juniperus,monosperma,194853,1,0,JUMO,3/27/2010 0:00,Evergreen conifer
290,Rocky Mountain juniper,Plantae,Juniperus,scopulorum,194872,1,0,JUSC2,3/27/2010 0:00,Evergreen conifer
291,Pinchot's juniper,Plantae,Juniperus,pinchotii,194869,1,0,JUPI,3/27/2010 0:00,Evergreen conifer
292,stiff dogwood,Plantae,Cornus,foemina,27803,1,0,COFO,3/27/2010 0:00,Deciduous broadleaf
